iter	RMSE
0	0.8055565982
1	0.7959089165
2	0.7871629125
3	0.779480409
4	0.7727446394
5	0.7659898345
6	0.7598380063
7	0.7550727024
8	0.7504992781
9	0.7463067103
10	0.7422036151
11	0.7377338324
12	0.7337091739
13	0.7306500419
14	0.7271573814
15	0.7240324756
16	0.7210076345
17	0.7182770429
18	0.7159084859
19	0.7133423788
20	0.711088251
21	0.7089099048
22	0.706793099
23	0.7046822447
24	0.7029179045
25	0.7013949987
26	0.6997692726
27	0.6982791189
28	0.6970375407
29	0.6955597356
30	0.6942715968
31	0.6931426222
32	0.6919167621
33	0.6909976044
34	0.6900945503
35	0.6889790752
36	0.6880700872
37	0.6871408829
38	0.6863182168
39	0.6855485884
40	0.6847392959
41	0.6839466051
42	0.6833034276
43	0.6826452334
44	0.682017787
45	0.6815326061
46	0.6808710133
47	0.6804121215
48	0.6800268927
49	0.6795356822
50	0.6790004684
51	0.6786248369
52	0.6781561123
53	0.6776126346
54	0.6772136369
55	0.6767881796
56	0.6763662531
57	0.6760078034
58	0.6757420522
59	0.6752822625
60	0.6750171634
61	0.6746914229
62	0.6742490292
63	0.6738321104
64	0.6734430824
65	0.6730930124
66	0.6727680026
67	0.6724613307
68	0.6722138781
69	0.6719077856
70	0.6715215998
71	0.6712640619
72	0.6709575184
73	0.6707146244
74	0.6704033241
75	0.6701721503
76	0.6699171076
77	0.6696574888
78	0.6694524759
79	0.6692651487
80	0.6691039772
81	0.6688197438
82	0.6686573819
83	0.6685602948
84	0.6682626543
85	0.6680131264
86	0.6677773894
87	0.6675553839
88	0.667368
89	0.6671667203
90	0.6669838561
91	0.6667693871
92	0.6665892967
93	0.666443261
94	0.6662526186
95	0.6660807821
96	0.665915835
97	0.6658505521
98	0.6656944645
99	0.665515109
100	0.6653701895
101	0.6651882102
102	0.6650280059
103	0.6648785906
104	0.6647336566
105	0.6646460182
106	0.6646341904
107	0.6646062018
108	0.6645050423
109	0.6644035624
110	0.6642974521
111	0.6641985607
112	0.6639827513
113	0.663931989
114	0.6637047858
115	0.6635408746
116	0.6634386181
117	0.6632701442
118	0.6631748882
119	0.6630201819
120	0.662926389
121	0.6627553384
122	0.6626006777
123	0.6625680103
124	0.662343415
125	0.6622126091
126	0.6620788708
127	0.6619442472
128	0.6619174559
129	0.6619062699
130	0.6618806104
131	0.661857663
132	0.6617543916
133	0.6617057764
134	0.6615818186
135	0.6614587903
136	0.661442779
137	0.6613515479
138	0.6613115835
139	0.6612240694
140	0.6611253052
141	0.6610522878
142	0.6608937503
143	0.6607552007
144	0.6606987781
145	0.6606544916
146	0.6605482477
147	0.6605367875
148	0.6604876805
149	0.6603442039
150	0.6603137731
151	0.6601731453
152	0.6601542927
153	0.6601069098
154	0.660066237
155	0.6599715667
156	0.6599222282
157	0.6597880845
158	0.6596299501
159	0.6594984126
160	0.6593987399
161	0.6593681271
162	0.6591615892
163	0.6590743672
164	0.6589469984
165	0.6588317894
166	0.6587220054
167	0.6585758824
168	0.6584057353
169	0.6583609421
170	0.658223314
171	0.6581406132
172	0.6580264865
173	0.657983842
174	0.657873171
175	0.6578262353
176	0.6577088628
177	0.6576635019
178	0.6575862369
179	0.6574676178
180	0.657402336
181	0.6572235438
182	0.6571134894
183	0.6570428614
184	0.6569251803
185	0.656826843
186	0.6568013579
187	0.656627413
188	0.6564735233
189	0.6563815113
190	0.6562610138
191	0.6561606265
192	0.6559720526
193	0.6558853206
194	0.6557860646
195	0.6557585099
196	0.6557339216
197	0.6555814561
198	0.6554928712
199	0.6554591009
200	0.655425964
201	0.6553120055
202	0.655157748
203	0.6551036591
204	0.6550647648
205	0.6549101003
206	0.654804134
207	0.6547110131
208	0.6546591291
209	0.6546228142
210	0.6545850808
211	0.6544631133
212	0.6543510105
213	0.6542301893
214	0.6540340903
215	0.653985123
216	0.6538460055
217	0.6538095376
218	0.6536613701
219	0.6535062386
220	0.6533871302
221	0.6533109761
222	0.6532678613
223	0.6532138388
224	0.6530750192
225	0.6529469383
226	0.6529054088
227	0.6528652686
228	0.6526907064
229	0.6525482142
230	0.6524109371
231	0.6523697527
232	0.652279271
233	0.6522390058
234	0.6521596682
235	0.6521198945
236	0.6520819018
237	0.651954285
238	0.6519168373
239	0.6518204577
240	0.6517826693
241	0.6517284711
242	0.6515961199
243	0.6515604371
244	0.6513702737
245	0.6513335785
246	0.6511823788
247	0.651135628
248	0.6510138776
249	0.6509388841
250	0.6507879411
251	0.6507522573
252	0.650717391
253	0.6505760922
254	0.6504556262
255	0.650334109
256	0.6502450991
257	0.6501263074
258	0.6499848001
259	0.6499026943
260	0.6497851809
261	0.6497352015
262	0.6497021692
263	0.6495923177
264	0.6494977574
265	0.649397551
266	0.6492607956
267	0.6491457029
268	0.6490995567
269	0.649065689
270	0.649032716
271	0.6489581589
272	0.6487898195
273	0.6487569592
274	0.6486412974
275	0.6485429886
276	0.6484389684
277	0.6483169328
278	0.64820226
279	0.648170225
280	0.6481238208
281	0.6479956143
282	0.6479640055
283	0.6478272389
284	0.6477237921
285	0.6476618869
286	0.6476308754
287	0.6475605014
288	0.6475297206
289	0.6473957173
290	0.6473254925
291	0.6472470836
292	0.6472025279
293	0.6468981765
294	0.6467979709
295	0.6467677146
296	0.6467381392
297	0.6466953532
298	0.6465975617
299	0.6465056952
