iter	Passed	Remaining
0	62	18800
1	65	9759
2	68	6760
3	70	5237
4	73	4321
5	75	3714
6	78	3278
7	80	2937
8	82	2682
9	85	2474
10	87	2304
11	90	2168
12	93	2054
13	94	1940
14	97	1854
15	99	1772
16	102	1703
17	104	1641
18	107	1583
19	109	1533
20	112	1489
21	114	1447
22	116	1406
23	119	1370
24	121	1335
25	123	1304
26	126	1275
27	128	1251
28	131	1224
29	133	1201
30	135	1177
31	137	1155
32	140	1134
33	142	1116
34	145	1099
35	147	1081
36	149	1064
37	151	1047
38	154	1032
39	156	1017
40	158	1004
41	161	992
42	163	978
43	165	965
44	168	952
45	170	941
46	172	930
47	175	919
48	177	909
49	179	898
50	182	888
51	184	878
52	186	869
53	189	863
54	191	853
55	193	844
56	196	836
57	198	827
58	200	819
59	202	811
60	204	803
61	207	794
62	209	786
63	211	778
64	213	771
65	215	765
66	218	759
67	220	752
68	222	746
69	225	741
70	227	734
71	229	728
72	232	722
73	234	716
74	236	710
75	239	704
76	241	699
77	243	693
78	246	688
79	248	683
80	250	678
81	253	672
82	255	667
83	257	662
84	259	657
85	262	652
86	264	647
87	266	642
88	268	637
89	270	632
90	273	628
91	275	623
92	278	619
93	281	616
94	283	611
95	285	607
96	287	602
97	289	596
98	291	592
99	294	588
100	296	583
101	298	579
102	300	575
103	302	570
104	305	567
105	307	562
106	308	557
107	311	553
108	313	549
109	315	545
110	318	542
111	320	538
112	322	534
113	325	530
114	327	526
115	329	523
116	332	520
117	334	516
118	336	512
119	339	508
120	341	504
121	343	501
122	345	497
123	347	493
124	349	489
125	352	486
126	354	482
127	356	479
128	358	475
129	360	470
130	361	466
131	363	462
132	366	459
133	368	456
134	370	452
135	372	449
136	374	445
137	376	441
138	378	438
139	380	434
140	382	431
141	385	428
142	387	425
143	389	422
144	391	418
145	394	415
146	396	412
147	397	408
148	400	405
149	402	402
150	404	399
151	406	396
152	408	392
153	410	389
154	412	385
155	414	382
156	416	379
157	418	376
158	420	373
159	422	369
160	424	366
161	427	363
162	429	361
163	432	358
164	434	355
165	436	352
166	439	349
167	441	347
168	444	344
169	446	341
170	448	338
171	450	335
172	452	332
173	455	329
174	457	326
175	459	323
176	461	320
177	463	317
178	465	314
179	468	312
180	470	309
181	472	306
182	474	303
183	477	300
184	479	297
185	481	295
186	483	292
187	485	289
188	488	286
189	490	283
190	492	281
191	494	278
192	497	275
193	499	272
194	501	270
195	503	267
196	505	264
197	507	261
198	509	258
199	511	255
200	514	253
201	516	250
202	518	247
203	520	244
204	522	241
205	524	239
206	526	236
207	528	233
208	530	231
209	532	228
210	534	225
211	537	222
212	539	220
213	541	217
214	543	214
215	545	212
216	547	209
217	549	206
218	551	204
219	554	201
220	556	198
221	558	196
222	560	193
223	562	190
224	564	188
225	566	185
226	568	182
227	570	180
228	573	177
229	575	175
230	577	172
231	579	169
232	581	167
233	583	164
234	585	161
235	587	159
236	589	156
237	591	154
238	593	151
239	595	148
240	597	146
241	599	143
242	601	141
243	603	138
244	605	136
245	607	133
246	610	130
247	612	128
248	614	125
249	616	123
250	618	120
251	621	118
252	623	115
253	625	113
254	627	110
255	629	108
256	631	105
257	633	103
258	635	100
259	637	98
260	640	95
261	642	93
262	644	90
263	646	88
264	648	85
265	650	83
266	652	80
267	655	78
268	657	75
269	659	73
270	661	70
271	663	68
272	665	65
273	667	63
274	669	60
275	671	58
276	673	55
277	675	53
278	677	51
279	680	48
280	682	46
281	684	43
282	686	41
283	688	38
284	691	36
285	693	33
286	695	31
287	697	29
288	699	26
289	701	24
290	703	21
291	705	19
292	707	16
293	710	14
294	712	12
295	714	9
296	716	7
297	718	4
298	720	2
299	722	0
