City,Location,Price,Area,BHK,Gymnasium,SwimmingPool,ClubHouse,24X7Security,PowerBackup,CarParking
Hyderabad,Nizampet,6968000,1340,2,1,1,1,1,1,1
Hyderabad,Hitech City,29000000,3498,4,1,1,1,1,1,1
Hyderabad,Manikonda,6590000,1318,2,1,0,0,0,0,0
Hyderabad,Alwal,5739000,1295,3,0,0,0,0,1,0
Hyderabad,Kukatpally,5679000,1145,2,0,0,0,0,1,1
Hyderabad,Nizampet,6099000,1230,2,0,0,0,0,1,0
Hyderabad,Manikonda,7000000,1350,2,0,0,0,0,0,0
Hyderabad,Gachibowli,4198000,1400,3,1,1,1,0,1,0
Hyderabad,Tellapur,9900000,2240,3,1,1,1,1,1,0
Hyderabad,Gachibowli,9800000,1520,2,0,0,0,0,1,0
Hyderabad,Kokapet,8903000,1535,3,1,1,1,1,1,1
Hyderabad,Hyder Nagar,6300000,1150,2,0,0,0,0,1,0
Hyderabad,Mehdipatnam,6300000,1285,2,0,0,0,0,1,0
Hyderabad,Tellapur,9000000,1897,3,1,1,1,1,1,1
Hyderabad,Narsingi,11100000,1725,3,1,1,1,1,1,1
Hyderabad,Khajaguda Nanakramguda Road,11500000,1665,3,0,0,0,0,1,0
Hyderabad,Kukatpally,10900000,1592,3,1,1,1,0,0,0
Hyderabad,Madhapur,8625000,1150,2,0,0,0,0,1,0
Hyderabad,Tellapur,9900000,2240,3,1,1,1,1,1,0
Hyderabad,Puppalaguda,3900000,1050,3,0,0,0,0,0,0
Hyderabad,Puppalaguda,7800000,1735,3,0,0,0,0,1,0
Hyderabad,Narsingi,19600000,2800,3,0,1,1,0,1,0
Hyderabad,Begumpet,6050000,1050,2,0,0,0,0,1,0
Hyderabad,Kukatpally,6150000,1230,2,1,1,1,0,1,0
Hyderabad,Nizampet,5000000,1175,2,0,0,0,0,0,0
Hyderabad,Nizampet,4760000,1190,2,0,0,0,0,0,0
Hyderabad,Banjara Hills,30000000,2956,4,0,0,0,0,0,0
Hyderabad,AS Rao Nagar,2500000,680,2,0,0,0,0,0,0
Hyderabad,Pragathi Nagar Kukatpally,5900000,1350,2,0,1,0,0,1,0
Hyderabad,Miyapur,9700000,1970,3,1,1,1,0,1,0
Hyderabad,Mallampet,4641000,1105,2,1,0,1,0,1,0
Hyderabad,Nanakramguda,16000000,2005,3,0,0,0,0,0,0
Hyderabad,Mallampet,4641000,1105,2,0,0,0,0,1,0
Hyderabad,Attapur,7500000,1406,3,0,0,0,0,0,0
Hyderabad,Alwal,6140000,1545,3,1,0,1,0,1,0
Hyderabad,Nanakramguda,10500000,1495,3,1,1,1,1,1,1
Hyderabad,West Marredpally,7200000,1300,3,0,0,0,0,0,0
Hyderabad,Nizampet,4600000,1200,2,1,1,1,0,1,0
Hyderabad,Hitech City,10400000,1450,3,0,0,0,0,1,0
Hyderabad,Banjara Hills,9500000,1450,3,0,0,0,0,1,0
Hyderabad,Narsingi,9942000,1912,3,1,0,0,0,1,1
Hyderabad,Manikonda,9250000,1850,3,0,0,0,0,1,0
Hyderabad,Puppalaguda,4500000,1300,3,0,0,0,0,1,0
Hyderabad,Kompally,9600000,1674,3,1,1,0,1,0,1
Hyderabad,Sri Nagar Colony,8600000,1242,3,0,0,0,0,0,0
Hyderabad,Hakimpet,2700000,850,2,0,0,0,0,0,0
Hyderabad,Pocharam,6600000,1895,3,1,1,1,1,1,1
Hyderabad,Nagole,8589000,1636,3,0,0,1,1,1,1
Hyderabad,LB Nagar,5500000,1076,2,0,0,0,0,0,0
Hyderabad,Meerpet,3200000,1080,2,0,0,0,0,0,0
Hyderabad,Kachiguda,20500000,2100,3,0,0,0,0,1,0
Hyderabad,Manikonda,6300000,1265,2,0,0,0,0,0,0
Hyderabad,Masab Tank,6400000,1300,3,0,0,0,0,1,0
Hyderabad,Miyapur,4988000,1089,2,0,0,0,0,1,0
Hyderabad,Kondapur,10500000,1400,2,1,1,1,0,1,0
Hyderabad,Saroornagar,4300000,850,2,0,0,0,0,0,0
Hyderabad,Nizampet,3900000,1100,2,0,0,0,0,0,0
Hyderabad,Uppal Kalan,5500000,1700,3,0,0,0,0,1,0
Hyderabad,Tellapur,10300000,2150,3,1,1,1,1,1,1
Hyderabad,Mallapur,6600000,1195,2,1,1,1,0,1,0
Hyderabad,Miyapur,6500000,1105,2,0,0,0,0,0,0
Hyderabad,Manikonda,5784000,1205,2,1,0,0,1,1,1
Hyderabad,Rajendra Nagar,5500000,1250,3,0,0,0,0,0,0
Hyderabad,Puppalaguda,6700000,1340,2,1,1,1,0,1,1
Hyderabad,Beeramguda,3000000,950,2,0,0,0,0,0,0
Hyderabad,Moosapet,4700000,1100,2,0,0,0,0,1,0
Hyderabad,Kondapur,15000000,1908,3,0,0,0,0,0,0
Hyderabad,Bachupally,7872000,1675,3,1,1,1,1,1,0
Hyderabad,Toli Chowki,7500000,1420,3,0,0,0,0,0,0
Hyderabad,Nanakramguda,3200000,910,2,1,1,1,0,0,0
Hyderabad,Lakdikapul,5600000,1325,3,0,0,0,0,1,0
Hyderabad,Tarnaka,11000000,1717,3,0,0,0,0,0,0
Hyderabad,West Marredpally,12000000,2400,3,0,0,0,0,0,0
Hyderabad,Kondapur,6900000,1150,2,0,0,0,0,1,0
Hyderabad,Toli Chowki,3900000,1000,3,0,0,0,0,0,0
Hyderabad,Kistareddypet,3999000,1200,2,0,0,0,0,1,0
Hyderabad,Pragathi Nagar Kukatpally,4460000,1040,2,0,0,0,0,1,0
Hyderabad,Hafeezpet,7298999,1181,2,0,0,0,0,0,0
Hyderabad,Kompally,10500000,2100,3,0,0,0,0,1,0
Hyderabad,Shaikpet,12000000,1550,3,1,1,1,1,1,0
Hyderabad,Amberpet,7700000,1280,3,0,0,0,0,0,0
Hyderabad,Kokapet,12400000,1945,3,0,0,0,0,0,0
Hyderabad,Hitech City,28200000,3500,4,1,1,1,1,1,1
Hyderabad,Nagole,3700000,1000,2,1,1,1,1,1,1
Hyderabad,Miyapur,8000000,1200,2,0,0,0,0,1,0
Hyderabad,Gachibowli,17700000,2729,4,1,1,0,0,0,0
Hyderabad,AS Rao Nagar,6998999,1500,3,0,0,0,0,1,0
Hyderabad,Banjara Hills,19400000,2165,3,1,1,1,0,1,1
Hyderabad,Kapra,3000000,1050,2,0,0,0,0,1,0
Hyderabad,Bachupally,2999000,1150,2,0,0,0,0,0,0
Hyderabad,West Marredpally,8500000,1822,3,0,0,0,0,1,0
Hyderabad,Puppalaguda,6500000,1270,1,0,0,0,0,1,0
Hyderabad,Trimalgherry,4500000,1300,1,1,0,0,0,1,0
Hyderabad,Habsiguda,8500000,1600,3,0,0,0,0,0,0
Hyderabad,Sanath Nagar,14500000,1818,3,1,1,1,1,1,1
Hyderabad,Darga Khaliz Khan,8000000,1282,2,1,1,1,0,1,0
Hyderabad,Manikonda,8600000,1830,3,1,1,0,0,1,0
Hyderabad,Kokapet,9073000,1815,3,1,1,1,1,1,1
Hyderabad,Puppalaguda,6700000,1400,1,0,0,0,0,1,0
Hyderabad,Nizampet,6344000,1220,2,1,1,1,1,1,1
Hyderabad,Nizampet,8580000,1650,3,1,1,1,1,1,1
Hyderabad,Nizampet,8736000,1680,3,1,1,1,1,1,1
Hyderabad,Nizampet,8086000,1555,3,1,1,1,1,1,1
Hyderabad,Nizampet,8762000,1685,3,1,1,1,1,1,1
Hyderabad,Nizampet,7904000,1520,3,1,1,1,1,1,1
Hyderabad,Nizampet,6370000,1225,2,1,1,1,1,1,1
Hyderabad,Nizampet,9334000,1795,3,1,1,1,1,1,1
Hyderabad,Nizampet,7462000,1435,2,1,1,1,1,1,1
Hyderabad,Nizampet,7436000,1430,2,1,1,1,1,1,1
Hyderabad,Nizampet,6578000,1265,2,1,1,1,1,1,1
Hyderabad,Manikonda,10400000,2080,3,1,1,0,1,1,1
Hyderabad,Manikonda,10400000,2092,3,1,1,0,1,1,1
Hyderabad,Manikonda,6850000,1370,2,1,1,0,1,1,1
Hyderabad,Manikonda,11100000,2232,3,1,1,0,1,1,1
Hyderabad,Manikonda,10300000,2063,3,1,1,0,1,1,1
Hyderabad,Manikonda,7000000,1400,2,1,1,0,1,1,1
Hyderabad,Manikonda,9325000,1865,3,1,1,0,1,1,1
Hyderabad,Manikonda,11299999,2270,3,1,1,0,1,1,1
Hyderabad,Manikonda,9480000,1896,3,1,1,0,1,1,1
Hyderabad,Hitech City,25600000,3031,4,1,1,1,1,1,1
Hyderabad,Manikonda,8510000,1702,3,1,0,0,0,0,0
Hyderabad,Manikonda,6750000,1350,2,1,0,0,0,0,0
Hyderabad,Manikonda,7625000,1525,3,1,0,0,0,0,0
Hyderabad,Manikonda,6125000,1225,2,1,0,0,0,0,0
Hyderabad,Manikonda,8640000,1728,3,1,0,0,0,0,0
Hyderabad,Manikonda,8625000,1725,3,1,0,0,0,0,0
Hyderabad,Manikonda,6500000,1300,2,1,0,0,0,0,0
Hyderabad,Manikonda,8000000,1600,3,1,0,0,0,0,0
Hyderabad,Manikonda,6000000,1200,2,1,0,0,0,0,0
Hyderabad,Kothaguda,9900000,1640,3,0,0,0,0,1,0
Hyderabad,Kompally,8234999,1830,3,0,0,0,0,1,0
Hyderabad,Kompally,8256999,1835,3,0,0,0,0,1,0
Hyderabad,Tellapur,7100000,1570,3,1,1,1,1,1,0
Hyderabad,Tellapur,9900000,1570,3,1,1,1,1,1,0
Hyderabad,Sanath Nagar,16000000,1895,3,1,1,1,0,1,1
Hyderabad,Manikonda,8000000,1600,3,0,0,0,0,0,0
Hyderabad,Kukatpally,5654000,1140,2,0,0,0,0,1,1
Hyderabad,Kukatpally,5704000,1150,2,0,0,0,0,1,1
Hyderabad,Kukatpally,7588000,1530,3,0,0,0,0,1,1
Hyderabad,Nizampet,5999000,1230,2,0,0,0,0,1,0
Hyderabad,Manikonda,6000000,1300,2,0,0,0,0,0,0
Hyderabad,Gachibowli,3148000,1050,2,1,1,1,0,1,0
Hyderabad,Gachibowli,6325000,1665,3,1,1,1,0,1,0
Hyderabad,Gachibowli,4748000,1250,2,0,0,0,0,0,0
Hyderabad,Gachibowli,4748000,1250,2,1,1,1,0,1,0
Hyderabad,Gachibowli,8168000,1900,3,0,0,0,0,0,0
Hyderabad,Gachibowli,8168000,1900,3,1,1,1,0,1,0
Hyderabad,Gachibowli,7802000,1815,2,1,1,1,0,1,0
Hyderabad,Gachibowli,5373000,1250,2,1,1,1,0,1,0
Hyderabad,Moosapet,7400000,1530,3,0,0,0,0,1,0
Hyderabad,Balanagar,7400000,1530,3,0,0,0,0,1,0
Hyderabad,Kokapet,20200000,3380,4,1,1,1,1,1,1
Hyderabad,Kokapet,10800000,1875,3,1,1,1,1,1,1
Hyderabad,Kokapet,15200000,2540,3,1,1,1,1,1,1
Hyderabad,Kokapet,15200000,2630,4,1,1,1,1,1,1
Hyderabad,Jubilee Hills,47200000,4500,4,0,0,0,0,0,0
Hyderabad,Kokapet,21500000,3380,4,1,1,1,1,1,1
Hyderabad,Manikonda,12000000,2700,3,0,0,0,0,1,0
Hyderabad,Tellapur,10000000,1792,3,1,1,1,1,1,1
Hyderabad,Tellapur,9500000,1673,3,1,1,1,1,1,1
Hyderabad,Narsingi,10700000,1665,3,1,1,1,1,1,1
Hyderabad,Narsingi,10700000,1640,3,1,1,1,1,1,1
Hyderabad,Narsingi,10700000,1640,3,1,1,1,1,1,1
Hyderabad,raidurgam,11500000,1665,3,0,0,0,0,1,0
Hyderabad,Banjara Hills,17000000,2200,3,0,0,0,0,0,0
Hyderabad,Pragathi Nagar Kukatpally,4000000,1170,2,0,0,0,0,0,0
Hyderabad,Banjara Hills,8500000,1600,4,0,0,0,0,1,0
Hyderabad,Miyapur,8600000,1644,3,0,0,0,0,0,0
Hyderabad,Miyapur,8599000,1644,3,0,0,0,0,0,0
Hyderabad,Miyapur,8898000,1687,3,0,0,0,0,0,0
Hyderabad,Miyapur,8599000,1650,3,0,0,0,0,0,0
Hyderabad,Miyapur,8298999,1554,3,0,0,0,0,0,0
Hyderabad,Miyapur,8598000,1684,3,0,0,0,0,0,0
Hyderabad,Miyapur,8898000,1650,3,0,0,0,0,0,0
Hyderabad,Murad Nagar,4200000,970,2,0,0,0,0,0,0
Hyderabad,Tellapur,10000000,2240,3,1,1,1,1,1,0
Hyderabad,Tellapur,10000000,2240,3,1,1,1,0,1,0
Hyderabad,Nizampet,4400000,1100,2,0,0,0,0,0,0
Hyderabad,Chandanagar,7840000,1600,3,0,0,0,0,1,0
Hyderabad,Hitech City,8600000,1150,2,0,0,0,0,1,0
Hyderabad,Manikonda,6800000,1415,3,1,0,0,0,1,0
Hyderabad,Banjara Hills,18500000,1980,3,0,0,0,0,0,0
Hyderabad,Chandanagar,5880000,1200,2,0,0,0,0,1,0
Hyderabad,Kukatpally,9906000,1905,3,1,1,1,1,1,1
Hyderabad,Kukatpally,10000000,1925,3,1,1,1,1,1,1
Hyderabad,Uppal Kalan,6187000,1482,3,1,1,1,0,1,0
Hyderabad,Nizampet,3800000,1100,2,1,0,0,0,1,0
Hyderabad,East Marredpally,11500000,1800,3,0,0,0,0,0,0
Hyderabad,East Marredpally,12000000,1800,3,0,0,0,0,0,0
Hyderabad,Mallampet,4641000,1105,2,1,0,1,0,1,0
Hyderabad,Kukatpally,11100000,1730,3,0,0,0,0,0,0
Hyderabad,Aminpur,4400000,1100,2,1,0,1,0,1,0
Hyderabad,Aminpur,4400000,1100,2,0,0,1,0,1,0
Hyderabad,Aminpur,4400000,1100,2,1,0,1,0,1,0
Hyderabad,Aminpur,4400000,1100,2,0,0,1,0,1,0
Hyderabad,Kondapur,7847000,1165,2,1,1,1,1,1,1
Hyderabad,Aminpur,4400000,1100,2,0,0,0,0,1,0
Hyderabad,Kondapur,10000000,1535,3,1,1,1,1,1,1
Hyderabad,Aminpur,4400000,1110,2,0,0,1,0,1,0
Hyderabad,Manikonda,6500000,1278,2,1,0,0,0,1,0
Hyderabad,Attapur,7500000,1406,3,0,0,0,0,1,0
Hyderabad,Mallapur,6500000,1190,2,1,1,1,0,1,0
Hyderabad,Pragathi Nagar Kukatpally,5300000,1215,2,0,0,0,0,1,0
Hyderabad,Kondapur,10700000,1770,3,1,1,1,1,1,1
Hyderabad,Alwal,4840000,1210,2,1,0,1,0,1,0
Hyderabad,Gajularamaram,4542000,1010,2,0,0,0,0,0,0
Hyderabad,Serilingampally,8100000,1620,3,0,0,0,0,1,0
Hyderabad,Gajularamaram,6931000,1555,3,1,1,0,0,1,0
Hyderabad,Kukatpally,7098999,1190,2,0,0,0,0,1,0
Hyderabad,Kukatpally,11100000,1730,3,0,0,0,0,1,0
Hyderabad,Kondapur,7240000,1165,2,1,1,1,1,1,1
Hyderabad,East Marredpally,10000000,1670,3,0,0,0,0,1,0
Hyderabad,Hitech City,13000000,1350,3,1,1,1,1,1,1
Hyderabad,Sri Nagar Colony,43000000,4780,4,1,0,0,0,1,0
Hyderabad,Serilingampally,8900000,1836,3,0,0,0,0,1,0
Hyderabad,West Marredpally,15000000,1970,3,0,0,0,0,0,0
Hyderabad,Kukatpally,12000000,2000,3,1,1,1,1,1,1
Hyderabad,Kondapur,7744000,1210,2,1,1,1,1,1,1
Hyderabad,Kondapur,9760000,1535,3,1,1,1,1,1,1
Hyderabad,Kondapur,8500000,1315,2,1,1,1,1,1,1
Hyderabad,AS Rao Nagar,2500000,680,1,0,0,0,0,0,0
Hyderabad,Malkajgiri,8200000,1200,2,0,0,0,0,0,0
Hyderabad,Kokapet,10800000,1735,3,1,1,1,0,1,0
Hyderabad,Jubilee Hills,27500000,2500,3,0,0,0,0,0,0
Hyderabad,Kondapur,35000000,3959,4,1,1,1,0,1,0
Hyderabad,Narsingi,9822000,1889,3,1,1,0,1,1,1
Hyderabad,Kondapur,30000000,4500,4,0,0,0,0,0,0
Hyderabad,Jubilee Hills,27500000,2500,3,0,0,0,0,1,0
Hyderabad,Alwal,4880000,1220,2,1,0,1,0,1,0
Hyderabad,Miyapur,9984000,1920,3,0,0,0,0,0,0
Hyderabad,West Marredpally,25000000,2700,4,0,0,0,0,1,0
Hyderabad,Mettuguda,5400000,1300,3,0,0,0,0,0,0
Hyderabad,Banjara Hills,15000000,2100,3,0,0,0,0,1,0
Hyderabad,Miyapur,9984000,1920,3,1,1,1,0,1,0
Hyderabad,Miyapur,10000000,1925,3,1,1,1,0,1,0
Hyderabad,Kondapur,11800000,1885,2,1,1,1,1,1,1
Hyderabad,Gajularamaram,4542000,1010,2,1,1,0,0,1,0
Hyderabad,Kukatpally,10900000,1695,3,0,0,0,0,1,0
Hyderabad,Kukatpally,7098999,1090,2,0,0,0,0,1,0
Hyderabad,Jubilee Hills,46000000,3100,3,0,1,1,0,1,0
Hyderabad,Jubilee Hills,19800000,2200,3,0,0,0,0,1,0
Hyderabad,Kondapur,7600000,1521,3,0,0,0,0,1,0
Hyderabad,Kokapet,18000000,2490,3,1,1,1,0,1,0
Hyderabad,Narsingi,12300000,1675,3,1,1,1,1,1,1
Hyderabad,Narsingi,12300000,1675,3,1,1,1,1,1,1
Hyderabad,Nizampet,5500000,1260,2,0,0,0,0,0,0
Hyderabad,Nizampet,3700000,1105,2,0,0,0,0,0,0
Hyderabad,Nizampet,4850000,1200,2,0,0,0,0,0,0
Hyderabad,Begumpet,4500000,900,2,0,0,0,0,0,0
Hyderabad,Malkajgiri,7600000,1710,3,0,0,0,0,0,0
Hyderabad,Sri Nagar Colony,8600000,1242,3,0,0,0,0,1,0
